[13/08/2020 23:09:04] [INFO] received Windows console close event; shutting log-core down
[13/08/2020 23:09:26] [INFO] received Windows console close event; shutting log-core down
[13/08/2020 23:29:58] [INFO] received Windows console close event; shutting log-core down
[13/08/2020 23:36:17] [INFO] received Windows console close event; shutting log-core down
[13/08/2020 23:43:35] [INFO] received Windows console close event; shutting log-core down
[13/08/2020 23:47:08] [INFO] received Windows console close event; shutting log-core down
[13/08/2020 23:58:32] [INFO] received Windows console close event; shutting log-core down
[13/08/2020 23:58:45] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 00:01:56] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 00:35:12] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 01:42:55] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 01:52:38] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 01:52:43] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 01:53:18] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 02:00:58] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 02:05:06] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 02:11:03] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 02:11:54] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 02:23:44] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 10:12:52] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 11:50:49] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 11:52:36] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 11:55:40] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 14:27:54] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 14:30:10] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 14:33:35] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 14:47:38] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 15:05:09] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 15:13:08] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 15:21:39] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 16:15:33] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 16:21:27] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 16:35:08] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 16:37:42] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 21:08:38] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 23:46:00] [INFO] received Windows console close event; shutting log-core down
[14/08/2020 23:56:06] [INFO] received Windows console close event; shutting log-core down
[15/08/2020 00:16:58] [INFO] received Windows console close event; shutting log-core down
